Pool,Pool Notes,Application,Foreground Begin (Unix Time),Foreground End (Unix Time)
,,Google Chrome,1357784673.09,1357784683.76
,,Preview,1357784684.27,1357784711.74
,,Tweetbot,1357784712.25,1357784713.77
,,Google Chrome,1357784714.28,1357784720.89
,,Tweetbot,1357784721.40,1357784740.70
,,Preview,1357784741.72,1357784742.22
,,Google Chrome,1357784742.73,1357784797.10
,,Preview,1357784797.61,1357785095.67
,,Google Chrome,1357785096.18,1357785199.37
,,Google Chrome,1357785200.89,1357785206.48
,,Tweetbot,1357785206.99,1357785225.31
,,Google Chrome,1357785225.81,1357785253.78
,,Google Chrome,1357785254.79,1357785257.34
,,Preview,1357785257.85,1357785271.59
,,Google Chrome,1357785272.10,1357785273.12
,,Google Chrome,1357785274.14,1357785279.73
,,Preview,1357785280.24,1357785282.27
,,Google Chrome,1357785282.78,1357785286.86
,,Preview,1357785287.36,1357785289.40
,,Google Chrome,1357785289.91,1357785329.09
,,Preview,1357785329.60,1357785331.63
,,Google Chrome,1357785332.14,1357785336.71
,,Preview,1357785337.22,1357785343.32
,,Google Chrome,1357785343.83,1357785347.90
,,Preview,1357785348.41,1357785349.43
,,Google Chrome,1357785349.93,1357785350.44
,,Preview,1357785350.95,1357785352.99
,,Google Chrome,1357785353.50,1357785357.05
,,Preview,1357785357.56,1357785359.60
,,Google Chrome,1357785360.11,1357785363.16
,,Preview,1357785363.67,1357785365.19
,,Google Chrome,1357785365.70,1357785370.28
,,Preview,1357785370.79,1357785371.81
,,Google Chrome,1357785372.31,1357785375.36
,,Preview,1357785375.87,1357785378.92
,,Google Chrome,1357785379.43,1357785381.47
,,Preview,1357785381.98,1357785424.76
,,Google Chrome,1357785425.27,1357785433.91
,,Preview,1357785434.42,1357785436.45
,,Google Chrome,1357785436.96,1357785440.02
,,Google Chrome,1357785441.04,1357785448.66
,,Preview,1357785449.16,1357785484.80
,,Tweetbot,1357785485.31,1357785497.00
,,Google Chrome,1357785497.51,1357785527.01
,,Tweetbot,1357785527.51,1357785540.74
,,Google Chrome,1357785541.24,1357785546.84
,,Tweetbot,1357785547.35,1357785547.86
,,Preview,1357785548.87,1357785573.83
,,Google Chrome,1357785574.34,1357785574.85
,,Preview,1357785575.36,1357785576.38
,,Google Chrome,1357785576.88,1357785580.44
,,Google Chrome,1357785581.46,1357785581.97
,,Preview,1357785582.48,1357785583.50
,,Google Chrome,1357785584.01,1357785585.53
,,Preview,1357785586.04,1357785586.55
,,Google Chrome,1357785587.06,1357785590.62
,,Preview,1357785591.13,1357785591.64
,,Google Chrome,1357785592.15,1357785597.75
,,Preview,1357785598.26,1357785599.79
,,Google Chrome,1357785600.30,1357785605.90
,,Preview,1357785606.41,1357785607.43
,,Google Chrome,1357785607.94,1357785611.49
,,Preview,1357785612.00,1357785612.51
,,Google Chrome,1357785613.02,1357785617.08
,,Preview,1357785617.59,1357785619.63
,,Google Chrome,1357785620.13,1357785624.20
,,Preview,1357785624.71,1357785626.24
,,Google Chrome,1357785626.75,1357785628.78
,,Preview,1357785629.29,1357785629.80
,,Google Chrome,1357785630.31,1357785632.35
,,Preview,1357785632.86,1357785633.37
,,Google Chrome,1357785633.88,1357785636.93
,,Preview,1357785637.44,1357785709.22
,,Google Chrome,1357785709.73,1357785714.82
,,Google Chrome,1357785715.83,1357785716.85
,,Preview,1357785717.36,1357785732.12
,,Google Chrome,1357785732.63,1357785740.78
,,Preview,1357785741.29,1357785747.40
,,Google Chrome,1357785747.90,1357785760.12
,,Preview,1357785760.63,1357785762.15
,,Google Chrome,1357785762.66,1357785768.75
,,Preview,1357785769.26,1357785773.34
,,Dictionary,1357785775.38,1357785837.59
,,Preview,1357785838.10,1357785838.61
,,Tweetbot,1357785839.11,1357785848.81
,,Google Chrome,1357785849.83,1357785882.41
,,Preview,1357785882.92,1357785900.75
,,Google Chrome,1357785901.26,1357785911.44
,,Preview,1357785911.95,1357785944.54
,,Tweetbot,1357785945.05,1357785950.16
,,Google Chrome,1357785950.67,1357786854.58
,,Google Chrome,1357793757.51,1357793761.08
,,Tweetbot,1357793761.60,1357793765.66
,,Google Chrome,1357793766.17,1357794148.98
,,Tweetbot,1357794149.49,1357794218.26
,,Google Chrome,1357794218.77,1357794826.61
,,Google Chrome,1357824162.83,1357824673.60
,,Google Chrome,1357824675.63,1357824815.82
,,Google Chrome,1357824817.34,1357824893.54
,,Google Chrome,1357828013.36,1357828042.89
,,Tweetbot,1357828043.40,1357828072.37
,,Google Chrome,1357828072.88,1357828081.52
,,Finder,1357828082.03,1357828092.23
,,Google Chrome,1357828092.74,1357828206.78
,,Tweetbot,1357828207.29,1357828210.85
,,Google Chrome,1357828211.36,1357828303.53
,,Google Chrome,1357842674.48,1357842678.08
,,Tweetbot,1357842678.60,1357842751.90
,,Google Chrome,1357842752.40,1357842831.78
,,Google Chrome,1357842833.31,1357842833.82
,,Tweetbot,1357842834.32,1357842834.83
,,Google Chrome,1357842835.34,1357842845.00
,,Tweetbot,1357842845.51,1357842942.34
,,Google Chrome,1357842942.85,1357843131.39
,,Google Chrome,1357863002.45,1357863147.23
,,Google Chrome,1357863148.76,1357863212.23
,,Finder,1357863212.74,1357863213.25
,,Google Chrome,1357863213.76,1357863215.81
,,Google Chrome,1357863217.85,1357863218.35
