Pool,Pool Notes,Application,Foreground Begin (Unix Time),Foreground End (Unix Time)
,,Finder,1358620259.48,1358620277.17
,,Preview,1358620277.69,1358620291.76
,,Finder,1358620292.28,1358620308.47
,,Preview,1358620308.99,1358620320.96
,,Finder,1358620321.48,1358620326.17
,,Tweetbot,1358620326.69,1358620328.78
,,Preview,1358620329.30,1358620331.90
,,Tweetbot,1358620332.42,1358620333.46
,,Google Chrome,1358620333.98,1358620335.02
,,Tweetbot,1358620335.54,1358620336.06
,,Finder,1358620336.58,1358620340.75
,,Google Chrome,1358620341.27,1358620358.99
,,Finder,1358620359.51,1358620360.03
,,Google Chrome,1358620360.56,1358620369.94
,,Finder,1358620370.46,1358620370.98
,,Preview,1358620371.50,1358620372.54
,,Finder,1358620373.07,1358620374.64
,,Preview,1358620375.16,1358620379.86
,,Google Chrome,1358620380.90,1358620381.43
,,Preview,1358620383.00,1358620384.04
,,Finder,1358620384.56,1358620386.13
,,Google Chrome,1358620386.65,1358620389.25
,,Preview,1358620390.29,1358620391.34
,,Google Chrome,1358620391.87,1358620392.91
,,Preview,1358620393.96,1358620395.00
,,Google Chrome,1358620395.52,1358620403.84
,,Preview,1358620404.36,1358620407.99
,,Finder,1358620408.52,1358620414.23
,,Google Chrome,1358620414.75,1358620417.35
,,Finder,1358620417.87,1358620422.03
,,Google Chrome,1358620422.55,1358620498.53
,,Tweetbot,1358620499.05,1358620501.66
,,Google Chrome,1358620502.17,1358620509.98
,,Google Chrome,1358620512.07,1358620513.63
,,Mathematica,1358620514.15,1358620515.21
,,Google Chrome,1358620516.26,1358620517.82
,,Mathematica,1358620518.34,1358620519.38
,,Tweetbot,1358620519.90,1358620530.34
,,Mathematica,1358620530.86,1358620534.53
,,Finder,1358620535.05,1358620535.57
,,Google Chrome,1358620536.09,1358620562.67
,,Mathematica,1358620563.19,1358620565.27
,,Google Chrome,1358620565.79,1358620566.85
,,Mathematica,1358620567.37,1358621105.39
,,Google Chrome,1358621105.92,1358621124.24
,,Mathematica,1358621124.76,1358621197.44
